Model,Region,RMSE,NLL,PI cov,Avg σ
MAP,ID,0.9971769,3.110028203967503,0.545,0.3999999999999999
MAP,OOD,1.7345093,9.404280581498023,0.2031,0.3999999999999999
BLL,ID,0.9489113,1.4169083014692498,0.9111,0.8443242907524109
BLL,OOD,2.4263833,2.2188878801114362,0.9951,2.1350889205932617
